Merchant Name,Category Name,% Rate,Flat Rate
AirFilters.com,Appliances,12.0,0.0
AirPhysio,Baby Health,0.0,25.0
AirbnbSEO,Advertising & Marketing,10.0,0.0
Airdog,Appliances,10.0,0.0
Airgun Depot,Hunting & Shooting,6.0,0.0
Airhub,Travel,12.0,0.0
Airinum,Health & Beauty,15.0,0.0
Airport LAX,Travel,10.0,0.0
Airport Parking Reservations,Travel,20.0,4.0
Airport-Resevations.com,Travel,2.0,0.0
AirportParking.com,Travel,20.0,0.0
AirportRentalCars.com,Car Rental,5.0,0.0
Airrobo,Appliances,10.0,0.0
Aiseesoft,Computers & Accessories,40.0,0.0
Aivituvin,Animals & Pet Supplies,10.0,0.0
Akarali,Beverages,15.0,0.0
Aku Pirinen Professional Services Oy,Consumer Services,0.0,5.0
Alabaster,Books & Magazines,2.0,0.0
Alana Eve,Women,15.0,0.0
Alas Silk,Clothing & Apparel,10.0,0.0
Alashan Cashmere,Accessories,10.0,0.0
Alaska Airlines - Points.com,Travel,1.6,0.0
Alaskan Leather Company,Luggage & Bags,8.0,0.0
Albany Park,Furniture,4.0,0.0
Albee Baby,Babies & Kids,2.0,0.0
Alberto Nardoni,Clothing & Apparel,9.0,0.0
Alchemy Pet,Animals & Pet Supplies,33.0,0.0
Aldo,Shoes,8.0,0.0
Aleck,Consumer Electronics,12.0,0.0
Alert1 Medical Alert Systems,Health & Beauty,12.8,0.0
AlertsUSA,Consumer Services,15.0,0.0
Aletha Health,Health Care,10.0,0.0
Alex Apparel Group,Clothing & Apparel,5.0,0.0
Alexander McQueen,Clothing & Apparel,5.0,0.0
Alexis Bittar,Accessories,5.0,0.0
AlgoLaser,Appliances,8.0,0.0
Ali Flowers,Flowers,10.0,0.0
Alibaba,Department Stores,7.69,0.0
Alibris,Books & Magazines,4.0,0.0
Alice Lane Home,Household,5.0,0.0
Aligner32,Health & Beauty,20.0,45.0
AlignerCo,Personal Care,5.0,40.0
Alipearl,Health & Beauty,2.0,0.0
Alison + Aubrey,Clothing & Apparel,15.0,0.0
Alkemis Paint,Arts & Crafts,10.0,0.0
All About Suit,Clothing & Apparel,8.0,0.0
All American Print Supply Co,Consumer Electronics,1.0,0.0
All Ball Pro,Sporting Goods,4.0,0.0
All Better Co.,Health Care,10.0,0.0
All Citizens,Underwear & Socks,5.6,0.0
All Deals,Consumer Services,8.0,0.0
All Moringa,Personal Care,10.0,0.0
All-Clad Factory Seconds,Kitchen & Dining,10.0,0.0
AllSaints,Clothing & Apparel,2.0,0.0
Allay Lamp,Lighting,8.0,0.0
Allergy Test,Beauty & Cosmetics,10.0,0.0
Alleviate Therapy,Personal Care,10.0,0.0
Allied Real Estate Schools,Online Courses,6.0,0.0
Alloy,Health & Beauty,0.0,6.0
Alloy Apparel,Clothing & Apparel,3.0,0.0
Allposters.com,Home Decor,5.0,0.0
Almave,Food & Gourmet,10.0,0.0
Almina Concept,Clothing & Apparel,5.0,0.0
Almond Cow,Food & Beverage,10.0,0.0
Almond ObGyn,Health Care,0.0,20.0
Alohi,Advertising & Marketing,30.0,0.0
Alpacka Raft,Boating & Water Sports,3.5,0.0
Alpha Academy,Online Courses,12.0,0.0
Alpha Industries,Clothing & Apparel,5.0,0.0
Alpha Lion,Diet & Fitness,6.0,0.0
Alpha Omega Publications,Education,10.0,0.0
Alphabet Deal,Household,10.0,0.0
Alphabet Trains & Toys,Baby Toys & Activity Equipment,10.0,0.0
Alpine Air Technologies,Hardware,15.0,0.0
Alpinistas,Clothing & Apparel,5.0,0.0
Alter Me,Exercise & Fitness,0.0,30.0
Alter Native,CBD,15.0,0.0
Alternative Airlines,Air,0.0,10.0
Altitude Outdoors,Outdoor Recreation,10.0,0.0
Altitude-Sports,Sporting Goods,7.0,0.0
Altium,Computers & Accessories,9.0,50.0
Altra Running,Shoes,7.2,0.0
Alva Cookware,Kitchen & Dining,10.0,0.0
"Alvantor Industry Co.,Ltd.",Sporting Goods,10.0,0.0
Always Full,Animals & Pet Supplies,6.0,0.0
AlwaysWebHosting.com,Web Hosting & Domains,0.0,25.0
Aly's site,,10.0,0.0
Alyaka,Beauty & Cosmetics,5.0,0.0
AmWager,Consumer Services,25.0,15.0
Amadine.com,Software,30.0,0.0
Amagabeli,Household,15.0,0.0
Amalise,Personal Care,10.0,0.0
Amana,Appliances,3.0,0.0
Amanda Uprichard,Clothing & Apparel,7.0,0.0
Amazfit,Consumer Electronics,10.0,0.0
