Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
GetNameNecklace,Jewelry,4,3.0,0.0
Gilt,Clothing & Apparel,4,3.0,0.0
Hostgator,Web Hosting & Domains,4,70.0,0.0
InfiniteAloe,Health & Beauty,4,10.0,0.0
Jos. A. Bank,Men,4,3.0,0.0
Journeys,Baby & Kids,4,8.0,0.0
JR Cigars,Cigars,4,4.0,0.0
Lindt Chocolatier,Food & Gourmet,4,7.0,0.0
The Linux Foundation,Online Courses,4,20.0,0.0
Lole,Clothing & Apparel,4,6.0,0.0
Whirlpool,Appliances,4,7.0,0.0
TOMS,Shoes,4,5.0,0.0
Professional Supplement Center,Vitamins & Supplements,4,10.0,0.0
Really Good Stuff,School Supplies,4,4.8,8.0
Satya Jewelry,Jewelry,4,12.0,0.0
Checks In The Mail,Financial,4,18.0,0.0
Sheet Music Plus,Musical Instruments & Accessories,4,8.0,0.0
"Shelving, Inc",Household,4,7.0,0.0
LEGO,Toys & Games,4,6.4,1.28
VIDA,Accessories,4,8.0,0.0
The Popcorn Factory,Food & Gourmet,4,6.0,0.0
ThreadBeast,Men,4,10.0,25.0
TicketNetwork,Event Tickets,4,16.0,0.0
Saviland,Beauty & Cosmetics,4,15.0,10.0
AT-A-GLANCE,Office,4,5.0,0.0
Mountain Khakis,Clothing & Apparel,4,6.0,0.0
TransparentRx,Education,4,20.0,2.0
Midland Radio,Consumer Electronics,4,5.0,0.0
Lenses For Less,Contacts & Glasses,4,7.0,0.0
Little English,Baby & Kids,4,6.0,0.0
MKF Collection,Handbags & Wallets,4,6.4,0.0
Saramonic,Audio,4,10.0,0.0
Zagg,Consumer Electronics,4,6.0,0.04
Next Day Contacts,Contacts & Glasses,4,7.0,0.0
Onlymaker,Shoes,4,10.0,0.0
Goldleaf,Health & Beauty,4,15.0,0.0
EpiLynx,Health & Beauty,4,20.0,0.0
YABER,Hobbies & Creative Arts,4,5.0,0.0
Pillow Guy,Bed & Bath,4,10.0,0.0
Bostanten,Handbags & Wallets,4,5.0,0.0
Lavazza,Beverages,4,16.8,0.0
Wildling Beauty,Beauty & Cosmetics,4,8.0,0.0
High Falls Hemp NY,CBD,4,20.0,0.0
Colonial Candle,Household,4,12.5,0.0
Electric City Roasting Co.,Food & Beverage,4,5.01,0.0
Cat Box Classics,Animals & Pet Supplies,4,10.0,0.0
Run United,Clothing & Apparel,4,7.0,0.0
Hally,Health & Beauty,4,15.0,0.01
Liquid Web,Web Hosting & Domains,4,400.0,7.0
Renude,Food & Beverage,4,12.5,0.0
Pura,Supplies,4,11.2,0.0
Caire Beauty,Health & Beauty,4,20.0,10.0
IMMUNOCORP,Health & Beauty,4,5.0,0.0
Fresh,Health & Beauty,4,12.0,0.0
Fresh Roasted Coffee,Food & Gourmet,4,13.0,0.0
Smilyn Wellness,CBD,4,20.0,0.0
Musinsa,Clothing & Apparel,4,2.0,0.0
89th + Madison,Clothing & Apparel,4,6.0,0.0
JEGS,Vehicles & Parts,4,2.0,0.0
Kentfaith,Camera & Optic Accessories,4,11.0,0.0
Wherelight,Contacts & Glasses,4,10.0,0.0
MyMedic,Health Care,4,16.0,0.0
Cabela's,Outdoor Recreation,4,6.0,0.0
Arka,Advertising & Marketing,4,5.0,0.0
1-800 CONTACTS,Contacts & Glasses,4,14.0,0.0
MakeUp Eraser,Health & Beauty,4,10.0,0.0
Bedrosians Tile & Stone,Household,4,10.0,0.0
Hero Cosmetics,Health & Beauty,4,8.0,0.0
Reel Paper,Household,4,25.0,0.0
Earthlove,Green Living (Eco-Friendly),4,8.0,0.0
My Gift Stop,Gifts,4,6.0,0.0
ScanMyPhotos,Photo & Canvas Services,4,10.0,0.0
LED Technologies,Health & Beauty,4,20.0,0.0
StarBackdrop,Hobbies & Creative Arts,4,12.0,0.0
Calm by Wellness,Vitamins & Supplements,4,15.0,0.0
Weleda,Health & Beauty,4,3.0,0.0
Solgaard,Luggage & Bags,4,10.0,0.0
Venchi,Desserts,4,8.0,0.0
Dooxi,Vehicles & Parts,4,8.0,0.0
Peacock Alley,Bed & Bath,4,3.0,0.0
Pinty,Weapons,4,6.0,0.0
Hobibear,Shoes,4,12.0,0.0
AGMES,Jewelry,4,12.0,0.0
Bumpin Blends,Food & Gourmet,4,25.0,5.0
Guilty Paws,Photo Gifts,4,15.0,0.0
PRI,Food & Gourmet,4,10.0,0.0
Arylic,Audio,4,5.0,3.2
Culligan ZeroWater,Kitchen & Dining,4,10.0,0.0
Cheapflightsfares,Travel,4,0.0,8.0
OUAI,Health & Beauty,4,8.0,0.0
West Kiss Hair,Accessories,4,8.0,0.0
Garden In Minutes,Lawn & Garden,4,8.0,0.0
Two Pages Curtain,Home Decor,4,11.0,0.0
Sweetv,Accessories,4,8.0,0.0
UniWigs,Hair Accessories,4,5.0,0.0
Patricks,Health & Beauty,4,5.0,0.0
Robert Mondavi Winery,Wine,4,8.0,0.0
FunnyFuzzy,Animals & Pet Supplies,4,8.0,0.0
David Archy,Men,4,25.0,0.0
Isee hair company,Hair Accessories,4,6.0,0.0
Coffee Bros.: Specialty Coffee + Equipment,Beverages,4,10.0,0.0
Thrive Causemetics,Beauty & Cosmetics,4,5.0,0.0
gunamuna,Babies & Kids,4,8.0,0.0
RingConn,Consumer Electronics,4,13.0,0.0
Salomon,Outdoor Recreation,4,10.0,0.0
Carluex,Motor Vehicle Electronics,4,10.0,0.0
Ultahost,Web Hosting & Domains,4,40.0,0.0
Simple App,Diet & Fitness,4,0.0,40.0
Verlas,Jewelry,4,5.0,0.0
Redbarn,Animals & Pet Supplies,4,5.0,0.0
UniqueVintage,Clothing & Apparel,4,7.0,0.0
Zappos,Shoes,4,4.0,0.0
Faith Heart,Jewelry,4,15.0,0.0
Delonghi,Appliances,4,12.0,0.0
BoxDog and BoxCat,Animals & Pet Supplies,4,8.0,0.0
Padel Market,Sporting Goods,4,6.4,0.0
Blazy Susan,Tobacco,4,3.0,0.0
FindBuyTool,Tools,4,10.0,0.0
Axiology,Beauty & Cosmetics,4,6.0,0.0
Springer Link,Books & Magazines,4,10.0,0.0
BlueCut,Work Uniforms,4,20.0,0.0
Bloomers Intimates,Clothing & Apparel,4,10.0,0.0
Giantex,Beauty & Cosmetics,4,5.0,0.0
El Cid,Hotel,4,6.0,0.0
At Home,Home Decor,4,2.0,0.0
Ever Pretty,Women,4,8.0,0.0
T3 Micro,Beauty & Cosmetics,4,8.0,0.0
Heivy,Health & Beauty,4,8.0,0.0
JOVS Beauty,Beauty & Cosmetics,4,5.0,0.0
GlassesUSA.com,Contacts & Glasses,4,2.5,0.0
RoseToyOfficial,Sex Toys,4,30.0,0.0
nugs.net,Music,4,60.0,24.0
Moosehill,Clothing & Apparel,4,10.0,0.0
Outdoor Master,Outdoor Recreation,4,35.0,0.0
TopCoat Products,"Vehicle Maintenance, Care & Decor",4,10.0,0.0
Blue Bottle Coffee,Food & Beverage,4,5.0,0.0
Casa Leo Pet,Animals & Pet Supplies,4,10.0,60.0
Leanin' Tree,Gifts,4,4.0,0.0
Hywell Store,Clothing & Apparel,3,15.0,0.0
POSIE AND PENN,Bed & Bath,3,15.0,0.0
Commomy Decor,Household,3,18.0,0.0
Heysaber (Shenzhen Yongzhe Xinran Technology),Consumer Services,3,6.0,0.0
Tsarbomba,Watches,3,10.0,0.0
Caseles,Handbags & Wallets,3,15.0,0.0
Topuniquehair,Hair Accessories,3,5.0,0.0
ExxPower,Golf,3,3.0,0.0
SUNSHINE ECOMMERCE LLC,Travel,3,19.0,0.0
BUILT (US),Food & Drink,3,10.0,0.0
This is Beauty,Beauty & Cosmetics,3,20.0,0.0
LasGoo Tools,Tools,3,12.0,0.0
Surface Deep LLC,Personal Care,3,15.0,0.0
PristineHydro (US),Consumer Services,3,10.0,0.0
Rage Fitness,Sporting Goods,3,6.0,0.0
Tilos (US),Swimwear,3,5.0,0.0
Willit Sports,Clothing & Apparel,3,10.0,0.0
Duracell Portable Power Stations,Building Supplies,3,4.0,0.0
ThinkCapital (US),Consumer Services,3,8.0,0.0
Wentworth Puzzles,Toys & Games,3,7.0,0.0
HealthyRXS,Vitamins & Supplements,3,20.0,0.0
7 For All Mankind,Clothing & Apparel,3,4.0,0.0
Carson Dellosa Education,Education,3,5.0,0.0
Windy City Novelties,Party Supplies,3,9.0,0.0
Canvasdiscount.com,Photo & Canvas Services,3,12.0,0.0
Colugo,Babies & Kids,3,3.0,0.0
canvasonsale.com,Photo & Canvas Services,3,8.0,0.0
BulkOfficeSupply,Office,3,2.0,0.0
Books-a-Million,Books & Magazines,3,3.0,0.0
Aveda,Health & Beauty,3,15.0,0.0
Als.com,Outdoor Recreation,3,4.0,0.0
Alamy,Advertising & Marketing,3,10.0,0.0
Alamo Rent a Car,Car Rental,3,3.0,0.0
ABC Carpet & Home,Household,3,6.4,0.0
BOYA,Hobbies & Creative Arts,3,10.0,0.0
Central Restaurant Products,Food Service,3,3.0,0.0
lookbyfare,Travel,3,0.0,9.0
TabCouchCaddy,Furniture,3,20.0,0.0
Carter Bay (US),Hardware,3,10.0,0.0
Database Mart,Data Storage,3,20.0,0.0
Acer Gadget,Consumer Electronics,3,13.0,0.0
Adblockultimate.net,Consumer Services,3,50.0,0.0
Planet Mutu Limited,Health & Wellness,3,20.0,0.0
Tinytography US,Babies & Kids,3,16.0,0.0
INMOTION,Vehicles & Parts,3,7.0,0.0
MASON New York,Jewelry,3,30.0,0.0
Kulfi Beauty,Health & Beauty,3,8.0,0.0
Teendow,Appliances,3,15.0,0.0
Windmill,Appliances,3,20.0,0.0
AKOVA Gear,Clothing & Apparel,3,8.0,0.0
Penguin CBD,CBD,3,30.0,0.0
Oklahoma Joe's,Kitchen & Dining,3,3.0,0.0
Ladywell,Vitamins & Supplements,3,10.0,0.0
Garvee,Hardware,3,10.0,0.0
Elegant Showers,Household,3,10.0,0.0
Hyland's,Vitamins & Supplements,3,10.0,0.0
HoverAir,Consumer Electronics,3,8.0,0.0
BeautyLIV,Fragrance & Cologne,3,3.0,0.0
GQ Box,Box Subscriptions,3,0.0,16.0
Patiowell,Storage and Organization,3,15.0,0.0
GoWithSocks,Clothing & Apparel,3,7.0,0.0
PeruRail,Travel,3,4.0,0.0
SKIMS,Clothing & Apparel,3,4.0,0.0
Wild Foods Co,Vitamins & Supplements,3,15.0,0.0
Third Eye Smoke Shop,CBD,3,40.0,0.0
Pixlr,Software,3,28.0,0.0
ContactsDirect,Contacts & Glasses,3,4.0,0.0
Interior Define,Household,3,1.6,0.0
Typhur,Kitchen & Dining,3,7.0,0.0
AromaPassions,Fragrance & Cologne,3,15.0,0.0
Goplus,Sporting Goods,3,5.0,0.0
Babelio,Babies & Kids,3,10.0,0.0
SHEGLAM,Beauty & Cosmetics,3,7.0,0.0
Hookii,Consumer Electronics,3,5.0,0.0
Beyond By Vera,Women,3,12.0,0.0
BLOKEES,Toys & Games,3,6.0,0.0
Belle Poque,Clothing & Apparel,3,15.0,0.0
Evil Energy,Vehicles & Parts,3,10.0,0.0
Nekkocare,Health & Beauty,3,30.0,0.0
ReGlow,Health Care,3,15.0,0.0
Tradecart Trading Inc,Online Grocery,3,10.0,0.0
BIKE athletic,Underwear & Socks,3,6.0,0.0
CPO Powertools,Tools,3,3.0,0.0
Tire Streets,"Vehicle Maintenance, Care & Decor",3,2.4,0.0
Party Glowz,Party Supplies,3,15.0,0.0
MELT Method,Exercise & Fitness,3,10.0,0.0
Royal Canin,Animals & Pet Supplies,3,11.0,0.0
LOKITHOR,Consumer Electronics,3,15.0,0.0
Bounce Nutrition,Health & Beauty,3,10.0,0.0
peta2z,Animals & Pet Supplies,3,10.0,0.0
FLEO,Clothing & Apparel,3,10.0,0.0
Coffee Bean & Tea Leaf,Beverages,3,5.6,0.0
Touchstone Essentials,Vitamins & Supplements,3,0.5,0.0
Cupshe,Women,3,10.0,0.0
Auxbeam,Vehicles & Parts,3,8.0,0.0
"Furhaven Pet Products, Inc.",Animals & Pet Supplies,3,10.0,0.0
Frontera Furniture Company,Furniture,3,5.0,0.0
Energy Muse,Jewelry,3,12.0,0.0
"e4Hats.com, Inc.",Hats,3,15.0,0.0
Designer Protein,Diet & Fitness,3,20.0,2.0
Condor,Travel,3,2.0,25.0
ClickInks.com,Ink,3,28.0,0.0
Click & Grow,Yard & Garden,3,20.0,0.0
Cate & Chloe,Jewelry,3,10.0,0.0
Sulwhasoo,Health & Beauty,3,8.0,0.0
Greek Creations,Clothing & Apparel,3,5.0,0.0
UGears,Collectibles,3,7.0,0.0
Total Wireless,Telephony,3,0.0,45.0
Todd Snyder,Clothing & Apparel,3,4.0,0.0008
GAT Sport,Diet & Fitness,3,10.0,0.0
Sugarfina,Desserts,3,5.0,0.0
SkinCeuticals,Health & Beauty,3,6.0,2.0
SHOP.com,Vitamins & Supplements,3,5.0,0.0
Shop Horne,Household,3,6.0,0.0
Scotch Porter,Personal Care,3,8.0,0.0
GlobeIn,Household,3,10.0,20.0
Hat Club,Hats,3,6.0,0.0
Deep Discount,Media,3,3.2,0.0
we the people holsters,Weapons,3,1.5,0.0
Lofta,Health & Beauty,3,4.0,0.0
Yogasleep,Bed & Bath,3,20.0,0.0
French Connection,Clothing & Apparel,3,4.0,0.0
Holly and Beau Ltd,Clothing & Apparel,3,20.0,0.0
goodoffer24,Video Game Consoles & Games,3,5.0,0.0
Quilted Koala,Handbags & Wallets,3,16.0,0.0
Dooney & Bourke,Accessories,3,5.0,0.0
Shopbop,Clothing & Apparel,3,3.0,0.0
Supplement Hunt,Diet & Fitness,3,3.0,0.0
Dick's Sporting Goods,Sporting Goods,3,2.0,0.0
LUX LAIR,Clothing & Apparel,3,7.0,0.0
Dr. Schulze's,Vitamins & Supplements,3,1.6,0.0
Wholesale Scarves,Accessories,3,7.0,0.0
Stampington & Company,Arts & Crafts,3,6.0,0.0
Skate Guru,Hockey & Figure Skating,3,3.0,0.0
Regenepure,Health & Beauty,3,10.0,0.0
RawSpiceBar,Food & Gourmet,3,25.0,0.0
Petmate,Animals & Pet Supplies,3,22.0,0.0
PalmBeach Jewelry,Jewelry,3,16.0,0.0
Zone - Mason Zone,Jewelry,3,20.0,0.0
Sarah Flint,Clothing & Apparel,3,4.0,0.0
Sam Edelman,Shoes,3,7.0,0.0
Rocket Dog,Clothing & Apparel,3,5.0,0.0
Foreo,Health & Beauty,3,10.0,0.0
June Jacobs,Health & Beauty,3,16.0,0.0
Jones NY,Clothing & Apparel,3,2.0,0.0
Inspired Cases,Accessories,3,8.0,0.0
HelloFresh,Food & Gourmet,3,32.0,25.0
Gold Medal Wine Club,Wine,3,15.0,0.0
GlassesShop,Contacts & Glasses,3,12.0,0.0
G2A,Video Games,3,5.0,0.0
Free People,Clothing & Apparel,3,8.0,0.0
FramesDirect.com,Health & Beauty,3,2.0,0.0
First Tactical,Sporting Goods,3,15.0,0.0
Rock Bottom Golf,Golf,3,2.0,0.0
First Aid Beauty,Health & Beauty,3,4.0,0.0
FineJewelers.com,Jewelry,3,4.0,0.0
Blain's Farm & Fleet,Department Stores,3,5.0,0.0
Factory Direct Filters,Household,3,10.0,0.0
Everimaging,,3,16.0,0.0
Xcaret.com,Event Tickets,3,6.0,0.0
Dylan's Candy Bar,Desserts,3,10.0,0.0
Dr. Fuhrman,Exercise & Fitness,3,12.0,80.0
DolceVita.com,Women,3,3.2,0.0
Knetbooks.com,Books & Magazines,3,8.0,0.0
Kole Imports,Supplies,3,3.0,100.0
LazyOne,Clothing & Apparel,3,8.0,0.0
Legion Athletics,Diet & Fitness,3,8.0,0.0
Revo,Consumer Services,3,6.0,0.0
Puzzle Master,Toys & Games,3,10.0,20.0
PureVPN,Internet Services,3,100.0,0.0
PsPrint,Office,3,8.0,0.0
Plow & Hearth,Household,3,5.0,0.0
PetSmart,Animals & Pet Supplies,3,6.0,0.0
PetCareRx,Animals & Pet Supplies,3,6.0,0.0
Perricone MD,Health & Beauty,3,12.0,0.0
PatPat,Clothing & Apparel,3,16.0,0.0
Paige Denim,Clothing & Apparel,3,8.0,0.0
Omaha Steaks,Food & Gourmet,3,8.0,0.0
NutriSystem,Food & Beverage,3,4.0,160.0
Naadam,Clothing & Apparel,3,8.0,0.0
My Sensual Secrets,Erotic,3,6.0,0.0
MyCorporation,Tax Services,3,40.0,0.0
MeUndies,Underwear & Socks,3,8.0,0.0
Maurices,Women,3,4.0,0.0
Matisse Footwear,Shoes,3,6.5,0.0
Marika,Clothing & Apparel,3,10.0,0.0
California Super Soil,Yard & Garden,3,10.0,0.0
Tracy's Dog,Sex Toys,3,12.0,0.0
BattleHawk Armory,Weapons,3,2.5,0.0
VEA,B2B,3,8.0,0.0
CBD ReThink,CBD,3,18.0,0.0
Karma and Luck,Clothing & Apparel,3,7.0,0.0
ASYSTEM,Vitamins & Supplements,3,10.0,0.0
Laptop Battery Express,Laptop Accessories,3,8.0,0.0
ClevGuard,Software,3,50.0,0.0
SewCal Masks,Gambling,3,15.0,0.0
Gate Operators Direct,Yard & Garden,3,10.0,0.0
Tucketts Inc,Accessories,3,15.0,0.0
Hello Cake,Erotic,3,8.0,8.0
Bloomsy Box,Gifts,3,8.0,0.0
Ruff Greens,Household,3,10.0,0.0
Blue Sky Vitamin,Vitamins & Supplements,3,3.0,0.0
Hugo Coffee Roasters,Food & Gourmet,3,10.0,0.0
PureWine,Wine,3,15.0,0.0
NutriBullet,Appliances,3,5.0,0.0
Decathlon,Clothing & Apparel,3,12.0,0.0
Ariat,Clothing & Apparel,3,12.0,0.0
Chow Sang Sang Jewellery,Jewelry,3,12.0,0.0
Helly Hansen,Clothing & Apparel,3,14.0,0.0
Alexandre Birman,Shoes,3,6.0,0.0
Hide My WP Ghost,Office,3,30.0,0.0
TopResume,Consumer Services,3,12.0,300.0
Levenger,Supplies,3,8.0,0.0
Nebula Genomics,Consumer Services,3,3.0,0.0
JustFashionNow,Women,3,12.0,0.0
Novakid,Education,3,0.0,328.0
East Essence,Clothing & Apparel,3,7.0,0.0
Meloway Makeup,Beauty & Cosmetics,3,12.0,0.0
SSLs.com,Web Hosting & Domains,3,35.0,0.0
101 Blockchains,Education,3,20.0,0.0
Betckey,B2B,3,12.0,0.0
ArtPix 3D,Personalized gifts,3,10.0,0.0
Stop & Shop,Online Grocery,3,0.0,3.0
Key Nutrients,Vitamins & Supplements,3,20.0,0.0
Nars Cosmetics,Beauty & Cosmetics,3,12.0,0.0
Electrolux,Appliances,3,8.0,0.0
TribeTokes LLC,CBD,3,3.0,0.0
Bali Bras,Underwear & Socks,3,8.0,0.0
Modelones,Health & Beauty,3,10.0,0.0
PureC60OliveOil.com,Health & Beauty,3,10.0,0.0
Melodie Music,Advertising & Marketing,3,20.0,0.0
HYCHIKA,Tools,3,17.0,0.0
Lilicloth,Clothing & Apparel,3,12.0,0.0
Solo Stove,Yard & Garden,3,8.0,0.0
Rotita,Clothing & Apparel,3,14.0,0.0
Me First Living,Vitamins & Supplements,3,25.0,0.0
illesteva,Sunglasses,3,3.0,0.0
FarmRio,Clothing & Apparel,3,5.0,0.0
Base Blu,Clothing & Apparel,3,6.0,0.0
aRes Travel,Vacation Packages,3,0.0,7.0
Rugs USA,Rugs & Flooring,3,2.0,0.0
Big Feet Pajama Co,Clothing & Apparel,3,10.0,0.0
Raymond Weil,Watches,3,0.8,0.0
Mapiful,Household,3,10.0,0.0
Glarry Music,Musical Instruments & Accessories,3,12.0,0.0
Lensabl - The Online Optometrist,Contacts & Glasses,3,10.0,0.0
Aimee Kestenberg,Handbags & Wallets,3,10.0,0.0
Allume,Clothing & Apparel,3,0.0,15.0
Carolina Biological Supply Company,Educational Toys,3,3.0,0.0
Aera,Smart Home Devices,3,6.0,0.0
Hamilton Beach,Appliances,3,12.0,0.0
Wine On Sale,Wine,3,5.0,0.0
beek,Shoes,3,4.0,0.0
Ravin,Weapons,3,5.0,0.0
I'd Rather Be With My Dog,Clothing & Apparel,3,5.0,0.0
Verizon,Telephony,3,10.0,75.0
ABCya,Education,3,10.0,0.0
Udacity,Education,3,20.0,0.0
The Double F,Clothing & Apparel,3,10.0,0.0
Sleep and Beyond,Household,3,10.0,0.0
Lumin,Health & Beauty,3,10.0,5.0
Hyalogic,Health & Beauty,3,20.0,0.0
Rabbies Tours,Travel,3,5.0,0.0
Gaby's Bags,Handbags & Wallets,3,5.0,0.0
adidas,Athletics,3,8.0,0.4064
Embryolisse,Health & Beauty,3,17.0,0.0
Bestvibe,Sex Toys,3,30.0,0.0
Sock It To Me,Clothing & Apparel,3,15.0,0.0
barkev's,Jewelry,3,10.0,0.0
Alpyn Beauty,Health & Beauty,3,8.0,0.0
Plant People,Health & Beauty,3,30.0,0.0
KATE BACKDROP,Camera & Optic Accessories,3,8.0,0.0
DeleteMe,Software,3,0.0,30.0
Brother,"Print, Copy, Scan & Fax",3,10.0,0.0
Vitrazza,Furniture,3,3.0,0.0
Sleepon,Health Care,3,20.0,0.0
Texas Superfood,Vitamins & Nutrition,3,10.0,0.0
Apparis,Clothing & Apparel,3,6.0,0.0
Muck Boots,Shoes,3,15.0,0.0
Lifeline Skincare,Health & Beauty,3,15.0,0.0
Obé Fitness,Sporting Goods,3,0.0,50.0
Blue Sky,Supplies,3,1.0,0.0
FarmHouse Fresh,Health & Beauty,3,6.0,0.0
Robert Barakett,Men,3,6.0,0.0
SOMA,Underwear & Socks,3,3.0,0.0
BeBird,Health & Beauty,3,15.0,0.0
Lula's Garden,Flowers,3,9.0,0.0
CircleDNA,Health Care,3,10.0,0.0
ASJMREYE,Furniture,3,4.0,0.0
Destira,Dance & Gymnastics,3,10.0,0.0
Sign Language 101,Online Courses,3,10.0,0.0
Hayabusa Fight,Boxing & Martial Arts,3,3.0,0.0
SIHOO,Furniture,3,8.0,0.0
Kingsyard,Animals & Pet Supplies,3,6.0,0.0
Buddha Stones,Jewelry,3,25.0,0.0
AARP,Consumer Services,3,0.0,25.0
WalkingPad,Sporting Goods,3,12.0,0.0
Healthy Human Life,Vitamins & Supplements,3,15.0,0.0
Norlii,Household,3,0.0,8.0
Delta XL,e-Cigarettes & Vaporizers,3,30.0,0.0
Everything 420,CBD,3,5.0,0.0
Paris Rhone,Consumer Electronics,3,12.0,0.0
Raddish Kids,Food & Gourmet,3,30.0,10.0
AKKO,Electronics Accessories,3,0.0,20.0
Wiggins Hair,Health & Beauty,3,2.5,0.0
Asteria Hair,Health & Beauty,3,3.84,0.0
Milk Street,Kitchen & Dining,3,4.0,0.0
Scent Decant,Fragrance & Cologne,3,12.0,0.0
Mission,Accessories,3,10.0,0.0
Abracadabra NYC,Costumes,3,5.0,0.0
Jessicurl,Personal Care,3,15.0,0.0
The Dirt Oral Care,Health Care,3,20.0,0.0
Alleyoop,Beauty & Cosmetics,3,10.0,0.0
Lemongor,Clothing & Apparel,3,20.0,0.0
"Dream Pairs, Bruno Marc, & Nortiv 8 Shoes",Shoes,3,10.0,0.0
TerpBoys,CBD,3,30.0,0.0
Be Rooted,Supplies,3,7.0,0.0
Powr-Flite,Appliances,3,2.0,0.0
Verdant Tea,Food & Gourmet,3,5.0,15.0
"Intelligentsia Coffee, Inc.",Beverages,3,15.0,0.0
Forme.Science,Clothing & Apparel,3,5.0,0.0
Megalook,Hair Accessories,3,10.0,0.0
Guideposts,Books & Magazines,3,10.0,0.0
ModifyHealth,Diet & Fitness,3,0.0,10.0
Eufora,Personal Care,3,2.0,0.0
Marathon Sports,Athletics,3,10.0,0.0
Trifecta,Food & Gourmet,3,0.0,20.0
Li Time,Batteries,3,5.0,0.0
Denver Modern,Home Decor,3,4.0,0.0
WishGarden Herbs,Health & Beauty,3,13.0,0.0
Viva Naturals,Vitamins & Supplements,3,3.0,0.0
GunSkins,Weapons,3,11.2,0.0
Kats Botanicals,CBD,3,10.0,0.0
Aspinal of London,Handbags & Wallets,3,5.0,0.0
King Kong Apparel,Backpacks,3,10.0,0.0
'47 Brand,Hats,3,5.0,0.0
Buck Palmer Jewelry,Jewelry,3,7.0,0.0
LG Electronics,Consumer Electronics,3,6.0,0.0
Secret Flight Club,Air,3,40.0,0.0
XGIMI,Consumer Electronics,3,5.0,0.0
Well People,Health & Beauty,3,5.0,0.0
Curtarra,Household,3,8.0,0.0
POWERUP Toys,Toys & Games,3,10.0,0.0
Costa Del Mar,Sunglasses,3,9.0,0.0
HCGRX,Health & Beauty,3,15.0,0.0
Bask Suncare,Health & Beauty,3,30.0,0.0
Redeem Therapeutics,Health & Beauty,3,40.0,0.0
Art Of Living Foundation,Health & Beauty,3,25.0,50.0
SIRUI,Camera & Optic Accessories,3,6.4,0.0
Katia Designs,Jewelry,3,7.0,0.0
E-WIN,Furniture,3,13.0,0.0
Lion Energy,Batteries,3,7.0,0.0
Nood,Underwear & Socks,3,2.0,0.0
Perfect Locks,Beauty & Cosmetics,3,5.0,0.0
Noble Panacea,Beauty & Cosmetics,3,15.0,0.0
ottocast,Motor Vehicle Electronics,3,10.0,0.0
Dragon Hemp,CBD,3,20.0,0.0
Shameless Pets,Animals & Pet Supplies,3,10.0,0.0
Chillax,Baby Safety,3,16.0,0.0
ALLDATAdiy,Vehicles & Parts,3,15.0,0.0
My Diet Doc,Health Care,3,20.0,0.0
Spetools,Hardware,3,10.0,0.0
tineco,Appliances,3,5.0,0.0
NEEDONE,Tobacco,3,7.0,0.0
Ancient Nutrition,Vitamins & Supplements,3,8.0,0.0
Mitzi,Household,3,4.0,0.0
Pour Moi Skincare,Beauty & Cosmetics,3,10.0,0.0
Trish McEvoy,Health & Beauty,3,6.0,0.0
Blinds,Household,3,2.0,0.0
Sailing Virgins,Education,3,4.0,0.0
AOMEI,Software,3,50.0,0.0
Gooloo,Consumer Electronics,3,13.0,0.0
Fitueyes,Household,3,8.0,0.0
Kylie Cosmetics,Beauty & Cosmetics,3,6.0,0.0
NicPouch Strip,Tobacco,2,10.0,0.0
Trending Custom,Gifts,2,12.0,0.0
JTB Products LLC,Consumer Electronics,2,23.0,0.0
Little Bot Inc.,Baby Toys & Activity Equipment,2,8.0,0.0
"SEYMAC CO.,LTD",Consumer Services,2,15.0,20.0
PosheEra,Consumer Services,2,10.0,0.0
"Royal Clips, LLC",Consumer Services,2,10.0,0.0
A-SUB,Consumer Services,2,10.0,0.0
Double Oak Essentials,Handbags & Wallets,2,12.0,0.0
ALPICOOL INC.,Appliances,2,15.0,0.0
Lumy Health,Health & Beauty,2,8.0,0.0
Moon And Skin (US),Beauty & Cosmetics,2,30.0,0.0
Elixir Shots,Health & Beauty,2,15.0,0.0
Lunyee,Consumer Services,2,10.0,0.0
Vitaraise Supplements,Vitamins & Supplements,2,20.0,0.0
wish fine jewelry,Jewelry,2,10.0,0.0
Karelias And Sons,Rugs & Flooring,2,20.0,0.0
PRECISION OPTICAL GROUP,Contacts & Glasses,2,20.0,0.0
"iFLYTEK (HONG KONG) Co.,Ltd.",Consumer Services,2,10.0,0.0
ClearStem Skincare,Health & Beauty,2,8.0,2.4
Cubitt,Clothing & Apparel,2,10.0,0.0
VapingLand,e-Cigarettes & Vaporizers,2,15.0,0.0
Gisada US,Fragrance & Cologne,2,7.0,0.0
Lacros,Sporting Goods,2,10.0,0.0
Rest Religion,Health & Beauty,2,10.0,0.0
Easy Plumbing,Household,2,5.0,0.0
Sicotas,Furniture,2,12.0,0.0
Resso.ai,Consumer Services,2,30.0,0.0
Arctic Farms,Food & Beverage,2,10.0,0.0
Tameson,Tools,2,5.0,0.0
Eddie Bauer Kids,Clothing & Apparel,2,5.0,0.0
Big Wall Decor,Household,2,10.0,0.0
Wrinkles Schminkles,Health & Beauty,2,6.0,0.0
FooJun LLC,Bed & Bath,2,15.0,0.0
GoHydrate,Beverages,2,8.0,0.0
Clawlab,Arts & Entertainment,2,5.0,0.0
Vocic,Consumer Services,2,12.0,0.0
