Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
PetMeds,Animals & Pet Supplies,21,5.0,0.0
Palmetto State Armory,Weapons,21,5.0,0.0
ASOS,Clothing & Apparel,21,6.0,0.0
Ulla Popken,Plus,21,12.0,0.0
Jo Malone,Health & Beauty,21,7.5,0.0
Dyson,Appliances,21,6.4,0.0
Adam & Eve,Erotic,21,11.0,0.24
Nutrafol,Vitamins & Supplements,21,0.0,40.0
ALLPOWERS,Batteries,21,10.0,0.0
Voghion,Department Stores,21,12.0,0.0
Gamivo,Video Games,21,5.0,0.0
Vevor,Hardware,21,6.0,0.0
Under Armour,Athletics,21,12.0,0.0
TinaCustom,Shoes,21,10.0,0.0
Coldwater Creek,Women,20,1.0,3.0
Mixbook,Photo & Canvas Services,20,8.0,0.0
Zazzle,Personalized gifts,20,6.0,0.0
Skechers,Shoes,20,8.5,0.0
DTLR,Shoes,20,3.0,0.0
Natchez Shooters Supplies,Hunting & Shooting,20,4.0,0.0
Fiverr,B2B,20,0.0,7.0
ELEMIS,Personal Care,20,12.0,0.0
BestNest,Outdoor Living,20,4.0,0.0
Manly,Men,20,17.0,0.0
Adorime,Sex Toys,20,20.0,0.0
Barcelo Hotel Group,Hotel,20,6.0,0.0
Manitoba Harvest,CBD,20,6.0,0.0
Bombas,Clothing & Apparel,20,12.0,0.0
Portable Hookahs,Tobacco,20,10.0,0.0
Batteries Plus,Batteries,20,1.6,5.0
INSPECIAL HOME,Home Decor,19,20.0,0.0
Office Depot,Office,19,5.0,0.0
Lulus,Clothing & Apparel,19,15.0,0.0
SpyAssociates.com,Consumer Electronics,19,6.0,0.0
Hanna Andersson,Clothing & Apparel,19,3.0,0.0
GNC,Vitamins & Supplements,19,3.0,0.0
Ashley,Household,19,6.0,0.0
EGOHOME,Bed & Bath,19,13.0,0.0
GeetaHair,Hair Accessories,19,5.0,0.0
Geekom,Consumer Electronics,19,3.0,0.0
smafan Outlet,Smart Home Devices,19,7.0,0.0
Sixt,Car Rental,19,8.0,300.0
