Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
Rack Room Shoes,Shoes,US,17,3.00%,0
Wine Insiders,Wine,US,17,8.00%,25
Zenni Optical,Contacts & Glasses,US,17,5.00%,
Xpluswear,Plus,US,17,12.00%,
Omio,Travel,US,17,10.00%,
Madewell,Women,US,17,3.00%,0
BodyBio,Health & Beauty,US,17,10.00%,
Allegra K,Clothing & Apparel,US,17,15.00%,
NeoGenesis,Health & Beauty,US,17,12.00%,
Bissell,Household,US,17,4.00%,0.04872
Colleen Rothschild Beauty,Health & Beauty,US,17,8.00%,
Famous Footwear,Shoes,US,17,3.01%,
Iolo System Mechanic,Software,US,17,,20
Lovehoney,Erotic,US,17,18.00%,
Melissa and Doug,Toys & Games,US,17,3.00%,
Ouidad,Health & Beauty,US,17,8.00%,
Restaurant.com,Food & Drink,US,17,30.00%,
Stacy Adams,Shoes,US,17,4.00%,
Shark Ninja,Consumer Electronics,US,17,7.00%,
The Ayurveda Experience,Health & Beauty,US,17,25.00%,1
PassFab,Software,US,16,50.00%,
Tantaly,Sex Toys,US,16,10.00%,
Grown Alchemist,Health & Beauty,US,16,15.00%,
Sesame Care,Health Care,US,16,,125
ISSA,Exercise & Fitness,US,16,14.40%,
Safelite,Vehicles & Parts,US,16,,15
M&Ms,Snacks,US,16,6.00%,
42Lolita,Clothing & Apparel,US,16,5.00%,
sweetcrispy,Furniture,US,16,15.00%,
Florsheim,Shoes,US,16,6.00%,
GoDaddy,Web Hosting & Domains,US,16,5.00%,0
Groupon,Local Deals,US,16,6.00%,0
The House of Staunton,Board Games,US,16,3.00%,
Nunn Bush,Shoes,US,16,6.00%,
The Sportsman's Guide,Weapons,US,16,5.00%,
Razer,Computers & Accessories,US,16,5.00%,
Home Chef,Food & Gourmet,US,16,,100
Lion Brand Yarn,Hobbies & Creative Arts,US,16,5.00%,
JACHS NY,Clothing & Apparel,US,16,6.00%,
Chico's,Clothing & Apparel,US,15,2.00%,
Blissworld,Health & Beauty,US,15,6.40%,
Codecademy,Online Courses,US,15,12.00%,
HP ,Computers & Accessories,US,15,7.50%,5
360 Cookware,Kitchen & Dining,US,15,10.00%,
PowerStep,Shoes,US,15,6.40%,
Colorfulkoala,Women,US,15,10.00%,
Pura Vida Bracelets,Jewelry,US,15,6.00%,
DiBanGu,Accessories,US,15,20.00%,
Overstock,Household,US,15,3.00%,
Kids2Shop,Babies & Kids,US,15,8.00%,
Zlike Hair,Hair Accessories,US,15,10.00%,
Zen Hotels GB,Hotel,US,15,8.00%,
ASICS,Shoes,US,15,6.00%,
Bloomingdale's,Department Stores,US,15,4.61%,
Champs Sports,Athletics,US,15,4.00%,0
Park Sleep Fly,Travel,US,15,20.00%,6
ReVive Skincare,Health & Beauty,US,15,20.00%,
