Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
DOG by Dr. Lisa,Animals & Pet Supplies,US,0,10.00%,
Gama Sonic,Lighting,US,0,7.00%,
Bakeup Beauty,Beauty & Cosmetics,US,0,10.00%,
USA Guided Tours,Tours,US,0,10.00%,
COOGHI,Baby Toys & Activity Equipment,US,0,15.00%,
AirbnbSEO,Advertising & Marketing,US,0,10.00%,
Gel Press,Hobbies & Creative Arts,US,0,10.00%,
The Goodfor Company,Appliances,US,0,10.00%,
Sartoro,Men,US,0,4.00%,
Epoch Batteries,Batteries,US,0,4.00%,
Pit Command,Outdoor Living,US,0,5.00%,
RUX,Camping & Hiking,US,0,8.00%,
The Cowgirl Premium Sex Machine,Sex Toys,US,0,5.00%,
CAROL Bike,Exercise & Fitness,US,0,,100
WINGGOOD,Shoes,US,0,50.00%,
BUSINESSROCKET.COM,B2B,US,0,,75
Propét Footwear,Shoes,US,0,11.00%,
All American Print Supply Co,Consumer Electronics,US,0,1.00%,
Golf Direct Now,Golf,US,0,3.00%,
Magnum Bikes,Cycling,US,0,6.00%,
Delta Waterfowl,Hunting & Shooting,US,0,7.00%,
PremoGuard,Supplies,US,0,20.00%,
Odele Beauty,Personal Care,US,0,15.00%,
Peltier Photo Courses,Education,US,0,30.00%,
Tinto Amorio,Wine,US,0,15.00%,
ssimder welding equipment inc.,Tools,US,0,10.00%,
RobeCurls,Hair Accessories,US,0,10.00%,
HumorousT-shirts,Clothing & Apparel,US,0,15.00%,
Dune Jewelry,Jewelry,US,0,10.00%,
GraduationMall,Holidays & Occasions,US,0,8.00%,
GogglesNMore.com,Contacts & Glasses,US,0,5.50%,
MacCase,Accessories,US,0,10.00%,
Homecourt,Bed & Bath,US,0,12.00%,
RoseSkinCo.,Beauty & Cosmetics,US,0,1.00%,
Vibra Hotels (US),Hotel,US,0,6.00%,
Travlfi,Internet Services,US,0,10.00%,
Nano Magic,Household,US,0,10.00%,
HiPEAK,Cycling,US,0,6.00%,
Transon,Hobbies & Creative Arts,US,0,8.00%,
Olynvolt,Exercise & Fitness,US,0,15.00%,
Cocinare Limited,Appliances,US,0,12.00%,
We Love Purely,Snacks,US,0,20.00%,
Longevity Box,Vitamins & Supplements,US,0,10.00%,
Lerin,Clothing & Apparel,US,0,7.50%,
Equipment,Women,US,0,8.00%,
STNGR USA,Weapons,US,0,7.00%,
Children of Design,Babies & Kids,US,0,10.00%,
Badlands Ranch,Animals & Pet Supplies,US,0,8.00%,
VICSON GROUP LLC,Shoes,US,0,16.00%,
YUREGEN,Vitamins & Supplements,US,0,15.00%,
BBQ-AID: Tools Built To Last,Household,US,0,10.00%,
Simplifyhemp,CBD,US,0,10.00%,
Inklings Baby,Baby Toys & Activity Equipment,US,0,5.00%,
Pizzello,Outdoor Living,US,0,5.00%,
La Peony Clothing,Clothing & Apparel,US,0,7.00%,
X-Vision Optics,Hunting & Shooting,US,0,10.00%,
"TEEWING INDUSTRIAL (HK) CO., LIMITED",Cycling,US,0,6.00%,
Rainy Roses,Beauty & Cosmetics,US,0,10.00%,
ChefShop.com,Food & Gourmet,US,0,7.00%,
aaawave,Computers & Accessories,US,0,5.00%,
Mountain Man Medical,Medical,US,0,8.00%,
Crua Outdoors,Camping & Hiking,US,0,7.00%,
Sasa Official Site,Health & Beauty,US,0,10.00%,
Pappy & Company,Gifts,US,0,10.00%,
Sohnne,Furniture,US,0,10.00%,
Turbopass,Travel,US,0,6.00%,
Copper Fit,Health Care,US,0,8.00%,
Bow Wow Labs,Animals & Pet Supplies,US,0,7.00%,
Peripage,Office,US,0,20.00%,
Bestpresso,Beverages,US,0,8.00%,
FOPOMonitor (US),Computers & Accessories,US,0,10.00%,
I am Bowling,Clothing & Apparel,US,0,5.00%,
Hauslane,Appliances,US,0,2.00%,
BioTRUST,Vitamins & Nutrition,US,0,15.00%,20
Butter Bell Crock,Household,US,0,8.00%,
Frame it All,Yard & Garden,US,0,5.00%,
Canvast Supply Co.,Cannabis,US,0,15.00%,
CampSaver,Outdoor Recreation,US,0,0.10%,
Healthy Heights,Vitamins & Nutrition,US,0,8.00%,
Panther Vision,Consumer Electronics,US,0,12.00%,
Cameo,Personalized gifts,US,0,4.00%,
ezCater,B2B,US,0,0.00%,12
Jade Leaf Matcha,Beverages,US,0,10.00%,
Spice Beauty,Health & Beauty,US,0,15.00%,
Wonderbly,Personalized gifts,US,0,8.00%,
Carlinkit Factory,Consumer Electronics,US,0,10.00%,
Peterson's,Online Courses,US,0,,15
Vintage Havana,Clothing & Apparel,US,0,10.00%,
NassifMD Skincare,Beauty & Cosmetics,US,0,10.00%,
OrlandoVacation.com,Travel,US,0,5.00%,
Vector Stock,Software,US,0,10.50%,
Dickies,Clothing & Apparel,US,0,5.00%,2.56
Bookshop,Books & Magazines,US,0,10.00%,
VeePN,Software,US,0,,30
Freshworks,Advertising & Marketing,US,0,20.00%,0
eSky,Travel,US,0,3.50%,
Fruugo,Department Stores,US,0,80.00%,
Terminix,Supplies,US,0,,20
OLAPLEX,Personal Care,US,0,5.00%,
Aetrex,Shoes,US,0,6.00%,
Slam Jam,Clothing & Apparel,US,0,8.00%,
ConsumersCreditUnion,Financial,US,0,,160
Baggu,Backpacks,US,0,4.00%,
Falke,Clothing & Apparel,US,0,10.00%,0
Hurtigruten Expeditions,Travel,US,0,7.00%,3.96
Blackstone Products,Outdoor Living,US,0,4.00%,
Vinovest,Alcohol / Beer,US,0,5.00%,0
Virtual Vocations Affiliate Referral Program,Consumer Services,US,0,,6
Youth To The People,Health & Beauty,US,0,9.00%,0
Jessie's Wig,Beauty & Cosmetics,US,0,1.00%,
Kollyy,Women,US,0,14.00%,
Shop Solar,Consumer Electronics,US,0,3.00%,
Producer Loops,Music,US,0,8.00%,
Fotografiska,Event Tickets,US,0,80.00%,
Julian Fashion,Clothing & Apparel,US,0,80.00%,
Rockstar Original,Clothing & Apparel,US,0,3.00%,
DEDICATED Brand,Clothing & Apparel,US,0,8.00%,
"Rheinwerk Publishing, Inc.",Books & Magazines,US,0,4.00%,
Beekman 1802,Beauty & Cosmetics,US,0,4.00%,
bombusbee,Collectibles,US,0,4.00%,
Viori Beauty,Bed & Bath,US,0,15.00%,
Easy Standard Apparel,Clothing & Apparel,US,0,8.00%,
VEED.IO,Software,US,0,20.00%,0
Ethika,Clothing & Apparel,US,0,6.00%,
ALOHAS,Clothing & Apparel,US,0,1.92%,
Abott Lyon,Jewelry,US,0,3.00%,
Current State,Beauty & Cosmetics,US,0,12.00%,
Vonage Home Phones,Telephony,US,0,,54
Fontspring,B2B,US,0,5.00%,
HydroPeptide,Beauty & Cosmetics,US,0,4.00%,
Purple Leaf,Outdoor Living,US,0,8.00%,
The Curiosity Box,Toys & Games,US,0,10.00%,40
TeckWrapCraft,Arts & Crafts,US,0,10.00%,
Woof,Dog Supplies,US,0,4.00%,
BeachBox Summer,Boating & Water Sports,US,0,12.00%,
Grouport,Professional Services,US,0,18.00%,
Click&Boat,Boating & Water Sports,US,0,6.00%,
Microdose,CBD,US,0,10.00%,
Soothe,Health & Wellness,US,0,0.00%,6
Mylio Photos,Photo & Canvas Services,US,0,25.00%,30
Calendar.com,Software,US,0,35.00%,
Black Rifle Coffee Company,Beverages,US,0,10.00%,0
Benjamin Moore,Home Decor,US,0,6.00%,
Kind Oasis,CBD,US,0,6.00%,
Grasscity,CBD,US,0,8.00%,
Beyond Yoga,Yoga & Pilates,US,0,4.00%,
Buster and Punch,Household,US,0,8.00%,
Conscious Items,Jewelry,US,0,15.00%,
Notarize,Legal Services,US,0,12.00%,
Johnny Was,Clothing & Apparel,US,0,8.00%,
US Green Card Office,Travel,US,0,30.00%,
MR PORTER,Men,US,0,6.00%,0
Goodee World,Household,US,0,3.00%,
Epicurean,Kitchen & Dining,US,0,12.00%,
Sun & Ski Sports,Outdoor Recreation,US,0,5.00%,
Poplin,Bed & Bath,US,0,14.40%,15
Geckobrands,Outdoor Recreation,US,0,3.00%,
Serta,Bed & Bath,US,0,5.00%,
VivoPrint,Personalized gifts,US,0,8.00%,
WoolFit,Shoes,US,0,6.00%,
Remodel Your Home,Household,US,0,,120
Creative Arcades,Games,US,0,3.00%,
Degs & Sal,Jewelry,US,0,10.00%,
Wild Willies,Personal Care,US,0,15.00%,
Contour Design,Computer Accessories,US,0,5.00%,
Jack Archer,Clothing & Apparel,US,0,15.00%,
Beautyrest,Bed & Bath,US,0,5.00%,
Intuit Mailchimp,Advertising & Marketing,US,0,40.00%,50
HoneyBook,Software,US,0,,35
Big Bat Box,Yard & Garden,US,0,15.00%,
Tailwind Nutrition,Vitamins & Nutrition,US,0,10.00%,
Ticombo,Event Tickets,US,0,7.00%,
DrHouse,Health Care,US,0,,80
One World Observatory,Event Tickets,US,0,10.00%,
Momentous,Vitamins & Supplements,US,0,6.50%,
Clove,Shoes,US,0,8.00%,
Dakota Lithium,Batteries,US,0,7.00%,
CNBC,Financial,US,0,10.00%,
iNews,Media,US,0,20.00%,
Visit Britain,Travel,US,0,10.00%,
Broadway Direct,Theatre,US,0,0.00%,5
Lume Deodorant,Personal Care,US,0,3.00%,
Buffy,Bed & Bath,US,0,5.00%,
Career.io,Consumer Services,US,0,10.00%,0
Mojawa,Consumer Electronics,US,0,7.00%,
Feature,Clothing & Apparel,US,0,4.00%,
Pomoly,Camping & Hiking,US,0,1.00%,
FireHiking,Camping & Hiking,US,0,1.00%,
Black Beard Fire Starters,Camping & Hiking,US,0,15.00%,
Howler Brothers,Clothing & Apparel,US,0,8.00%,
Kane Footwear,Shoes,US,0,5.00%,
PAKA Apparel,Clothing & Apparel,US,0,8.00%,
Sun Company,Outdoor Recreation,US,0,12.00%,
Loop Mobile,Consumer Electronics,US,0,6.00%,5
Timo and Violet,Babies & Kids,US,0,20.00%,
meowbox,Box Subscriptions,US,0,10.00%,
Bellabooty,Exercise & Fitness,US,0,10.00%,
Body Kitchen,Vitamins & Supplements,US,0,10.00%,
Lucid Mattresses,Bed & Bath,US,0,5.00%,
Move,Shoes,US,0,5.00%,
Mightly,Clothing & Apparel,US,0,10.00%,
Warmies,Babies & Kids,US,0,3.00%,
Clean Nutra,Vitamins & Supplements,US,0,20.00%,
PEARL iZUMi,Cycling,US,0,9.60%,
LifePro Fitness,Health & Beauty,US,0,5.00%,
American Bank Checks,Financial,US,0,16.00%,
AnkerMake,3D Printers,US,0,12.00%,
Childsplay Clothing,Baby & Kids,US,0,5.00%,
Kits,Contacts & Glasses,US,0,2.00%,
Noteworthy Scents,Fragrance & Cologne,US,0,3.00%,
southfaces,Clothing & Apparel,US,0,20.00%,
Santo Remedio,Vitamins & Supplements,US,0,10.00%,
The Adult Toy Shop,Sex Toys,US,0,15.00%,
Strut Health,Personal Care,US,0,25.60%,100
Torras,Accessories,US,0,10.00%,
Everyday Life Insurance,Insurance,US,0,,250
YSE Beauty,Health & Beauty,US,0,2.40%,
Sport is Good,Sporting Goods,US,0,5.00%,
La Sellerie de Mae,Animals & Pet Supplies,US,0,6.00%,
Naturopathica,Beauty & Cosmetics,US,0,50.00%,0
Tahiti Village,Travel,US,0,10.00%,
Paint With Diamonds,Arts & Crafts,US,0,12.00%,
Como Hotels and Resorts,Hotel,US,0,4.00%,
Thinkcar,Vehicles & Parts,US,0,20.00%,
Round Lab,Beauty & Cosmetics,US,0,15.00%,
Halfdays,Clothing & Apparel,US,0,10.00%,
Pins & Aces,Golf,US,0,10.00%,
2nd & Charles,Books & Magazines,US,0,8.00%,
Full Compass Systems,Consumer Electronics,US,0,4.00%,0
BloomNation,Flowers,US,0,8.00%,
The Black Tux,Clothing & Apparel,US,0,4.00%,
EVOLV Electric Scooters,Consumer Electronics,US,0,6.00%,
Cleobella,Clothing & Apparel,US,0,3.00%,
Jasco,Consumer Electronics,US,0,8.00%,
Our Place,Kitchen & Dining,US,0,4.00%,
Fidelity Denim,Clothing & Apparel,US,0,6.00%,
Movado Company Store,Watches,US,0,4.00%,
Varsity Base,Clothing & Apparel,US,0,14.00%,
Kyi Kyi,Accessories,US,0,5.00%,
byFood,Vacation Packages,US,0,5.00%,
Airport-Resevations.com,Travel,US,0,2.00%,
Form Nutrition,Vitamins & Nutrition,US,0,8.00%,
Xandro Lab,Vitamins & Supplements,US,0,5.00%,
Bernardo 1946,Shoes,US,0,12.00%,
Tomahawk Shades,Sunglasses,US,0,4.00%,
Epicure,Food & Beverage,US,0,13.60%,
Ancient DNA Origins,Consumer Services,US,0,40.00%,
ATaPa,Health & Wellness,US,0,28.00%,
Cheekbone Beauty,Beauty & Cosmetics,US,0,8.00%,
Freebeat,Exercise & Fitness,US,0,8.00%,
Viraldine,Health Care,US,0,10.00%,
hide.me,Software,US,0,30.00%,
Maui Jim,Sunglasses,US,0,6.00%,0.12
CorelDRAW,Software,US,0,10.00%,
Garmentory,Clothing & Apparel,US,0,4.00%,
Disney+,Media,US,0,18.00%,0
Le Domaine,Health & Beauty,US,0,10.00%,
Cove Smart Home Security,Home Security Systems,US,0,15.00%,
Bond Touch,Jewelry,US,0,3.00%,
weBoost,Software,US,0,10.00%,
Art Bloom,Home Decor,US,0,5.00%,
Pogo Bounce House,Toys & Games,US,0,5.00%,
James Bark,Clothing & Apparel,US,0,10.00%,
Understatement,Underwear & Socks,US,0,5.00%,0
Organixx,Vitamins & Supplements,US,0,7.00%,
Cool Relief,Health & Beauty,US,0,15.00%,
HSIA,Clothing & Apparel,US,0,8.00%,
AUROLA,Clothing & Apparel,US,0,10.00%,
Antler Rings,Jewelry,US,0,5.00%,
Cuisinart,Kitchen & Dining,US,0,2.00%,0
Emergency Assistance Plus,Travel,US,0,,35
Nootopia,Vitamins & Supplements,US,0,20.00%,
The Future Rocks,Jewelry,US,0,5.00%,
Coldture,Exercise & Fitness,US,0,5.00%,
Armasight,Hunting & Shooting,US,0,6.00%,
Roundhouse Provisions,Vitamins & Nutrition,US,0,8.00%,
Rhino,Vehicle Safety & Security,US,0,7.00%,
SelfDecode,Health & Beauty,US,0,15.00%,
Go Ape,Outdoor Recreation,US,0,5.00%,
Mauviel,Kitchen & Dining,US,0,5.00%,
1620 USA,Clothing & Apparel,US,0,4.00%,
Argires Snacks,Food & Gourmet,US,0,5.00%,
SecureTeen,Software,US,0,20.00%,
Constructor,Education,US,0,,40
Trendgallery,Home Decor,US,0,5.00%,
Olofly,e-Cigarettes & Vaporizers,US,0,10.00%,
NatruSmile,Personal Care,US,0,3.00%,
Las Sola,Lighting,US,0,10.00%,
Adnia Solutions,Internet Services,US,0,10.00%,
Popsa,Photo Gifts,US,0,8.00%,
Kaabo,Outdoor Recreation,US,0,5.00%,
Highwood USA,Outdoor Living,US,0,15.00%,
Clip and Carry,Weapons,US,0,12.00%,
Young Days,Baby & Kids,US,0,8.00%,
Hostkicker,Internet Services,US,0,30.00%,
Lipault,Luggage & Bags,US,0,10.00%,
Beflax Linen,Bed & Bath,US,0,6.00%,
Azul Ixtapa Hotels,Hotel,US,0,6.00%,
AlertsUSA,Consumer Services,US,0,15.00%,
Dark Forest,Collectibles,US,0,10.00%,
Finaciti,Financial,US,0,30.00%,
Superfood Science,Vitamins & Supplements,US,0,10.00%,
War Locker,Sporting Goods,US,0,10.00%,
CerebralFit,Health & Wellness,US,0,5.00%,
LEDDA,Fragrance & Cologne,US,0,10.00%,
AFT Fitness Coaching,Exercise & Fitness,US,0,,10
Pure & Cimple,Beauty & Cosmetics,US,0,10.00%,
Santa's Little Helpers,Board Games,US,0,15.00%,
BaronFleet,Travel,US,0,10.00%,
namuk,Baby & Kids,US,0,10.00%,
Hemp Chewz,CBD,US,0,10.00%,
Inspiring Speakers Bureau,Consumer Services,US,0,50.00%,
Jonesbar,Food & Gourmet,US,0,10.00%,
Sunrider,Health & Beauty,US,0,10.00%,
Car Keys Express,Vehicle Safety & Security,US,0,10.00%,
CuboAi,Baby Safety,US,0,6.50%,
GEM,Vitamins & Supplements,US,0,20.00%,
Aquatabs,Health & Wellness,US,0,7.00%,
Bardot,Women,US,0,8.00%,
College Insights,College,US,0,20.00%,
Sex Dolls USA,Sex Toys,US,0,,250
TP-Link USA,Home Security Systems,US,0,10.00%,
Hedley & Bennett,Kitchen & Dining,US,0,8.00%,
BullyStick,Dog Supplies,US,0,8.00%,
GOFLUO,Clothing & Apparel,US,0,5.00%,
Striven,B2B,US,0,,125
Harry Potter and the Cursed Child - Broadway,Event Tickets,US,0,4.80%,
Woolf Merino,Skiing & Snowboarding,US,0,12.00%,
Calvert Education,Education,US,0,4.00%,
dryrobe,Outdoor Living,US,0,6.50%,
Delara Home,Bed & Bath,US,0,6.00%,
ITA Airways,Air,US,0,8.46%,
PureSleep,Health & Beauty,US,0,20.00%,
FXW Dog Playpens,Animals & Pet Supplies,US,0,16.00%,
Staples Promo,B2B,US,0,10.00%,
Roller Rabbit,Home Decor,US,0,4.00%,
Symbiome,Personal Care,US,0,10.00%,
Womaness,Health & Beauty,US,0,15.00%,
Naenka Tech,Audio,US,0,12.00%,
Weedmaps,CBD,US,0,,3
VEEPS,Arts & Entertainment,US,0,15.00%,
Dollar Flight Club,Air,US,0,48.00%,2.4
Flair Espresso,Beverages,US,0,5.00%,
Airhub,Travel,US,0,12.00%,
Tonal,Exercise & Fitness,US,0,2.00%,
Portmeirion,Kitchen & Dining,US,0,5.00%,
Trail Magik,Babies & Kids,US,0,10.00%,
Traveloka,Travel,US,0,7.00%,
SpotOn Transact,B2B,US,0,,500
Riedell Skates,Sporting Goods,US,0,7.00%,
Homeaglow,Home Services,US,0,,7
Saint James,Clothing & Apparel,US,0,6.00%,
eSIM World,Internet Services,US,0,10.00%,
Sermo,Consumer Services,US,0,0.00%,20
Skylux Travel,Air,US,0,,17.4
Portland Salt Co.,Condiments & Sauces,US,0,12.00%,
Edobles,CBD,US,0,40.00%,
Yune Yoga,Yoga & Pilates,US,0,24.00%,
Aspen Dental,Professional Services,US,0,,10
TaoTronics,Consumer Electronics,US,0,8.00%,
Backstage Merch,Clothing & Apparel,US,0,2.00%,
Sabina,Health & Beauty,US,0,4.50%,
Curry and Paxton,Contacts & Glasses,US,0,10.00%,
Pergolux,Yard & Garden,US,0,3.00%,23
Die Free Co,Weapons,US,0,10.00%,
Steambow,Weapons,US,0,16.00%,
TruConnect,Internet Services,US,0,,30
Frndly TV,Media,US,0,,10
Onsen Towel,Bed & Bath,US,0,4.00%,
Lightopia,Lighting,US,0,6.00%,
Logos Nutritionals,Vitamins & Nutrition,US,0,10.00%,
Dorne,Accessories,US,0,10.00%,
Escape the Room,Arts & Entertainment,US,0,12.00%,
New England Sports Network,Media,US,0,,5
Isagenix,Diet & Fitness,US,0,8.00%,
SFH,Vitamins & Supplements,US,0,11.00%,
COSORI,Kitchen & Dining,US,0,5.00%,
Amana,Appliances,US,0,3.00%,
Aurora Training Advantage,Online Courses,US,0,25.00%,
Evermore Pet Food,Animals & Pet Supplies,US,0,15.00%,
Ace + Ike,Baby & Kids,US,0,12.00%,
Progurt,Vitamins & Nutrition,US,0,15.00%,
Warmkiss,Bed & Bath,US,0,15.00%,
CupStation,Vehicle Storage & Cargo,US,0,,15.5
Cool Cura,Health & Wellness,US,0,,13
Atlas Fly Fishing,Fishing,US,0,10.00%,
Mighty Kind,CBD,US,0,15.00%,
Holy Hydrogen,Health & Wellness,US,0,5.00%,
The Pick,Sporting Goods,US,0,10.00%,
Aura Essentials,Vitamins & Supplements,US,0,20.00%,
Drop Connect,Building Supplies,US,0,10.00%,
Psylos1,Clothing & Apparel,US,0,10.00%,
DermRays,Beauty & Cosmetics,US,0,10.00%,
VUUM,Beverages,US,0,6.00%,
WigFever,Beauty & Cosmetics,US,0,7.00%,
Curl Warehouse,Health & Beauty,US,0,10.00%,
Transformation Protein,Vitamins & Supplements,US,0,,25
Mindbloom,Health & Beauty,US,0,,120
KAWA,Camera & Optics,US,0,6.00%,
Vibe Alley,Box Subscriptions,US,0,,5
KilgourMD,Health & Beauty,US,0,5.00%,
Nicepairs,Shoes,US,0,18.00%,
MIKOH,Clothing & Apparel,US,0,30.00%,
SiBio,Health & Beauty,US,0,10.00%,
Below 60,Fragrance & Cologne,US,0,10.00%,
Plant Based Candles,Home Decor,US,0,10.00%,
Turkish Airlines,Air,US,0,2.00%,
KYIR,Beauty & Cosmetics,US,0,15.00%,
MukkPet Bike,Cycling,US,0,3.00%,
Nothosaur,Sex Toys,US,0,10.00%,
Gloryboard,Home Decor,US,0,10.00%,
Magedok,Consumer Electronics,US,0,5.00%,
SA Aligners,Health Care,US,0,7.00%,
KIAURA Eyewear,Sunglasses,US,0,8.00%,
LOHLA SPORT,Women,US,0,7.00%,
Smile Perfect,Personal Care,US,0,15.00%,
Smoke Spot,e-Cigarettes & Vaporizers,US,0,10.00%,
Senseng Apparel,Baby & Kids,US,0,20.00%,
Shape Accelerator,Personal Care,US,0,10.00%,
MineBrick,Gifts,US,0,5.00%,
Oqq,Clothing & Apparel,US,0,10.00%,
FABAwings,Beauty & Cosmetics,US,0,5.00%,
Transcend,Clothing & Apparel,US,0,5.00%,
Display Market,Signage,US,0,10.00%,
Kerwell,Health Care,US,0,20.00%,
Issei,Desserts,US,0,10.00%,
Madeleine Thompson,Women,US,0,15.00%,
Jigsaw Surf Co.,Puzzles,US,0,20.00%,
Lusso Leather,Clothing & Apparel,US,0,2.00%,
MobileSphere,B2B,US,0,30.00%,
Booze Dogs,Meats & Seafood,US,0,10.00%,
Bunny Hopkins,Baby Toys & Activity Equipment,US,0,5.00%,
Cozyla,Smart Home Devices,US,0,1.00%,
Credit CRB,Financial,US,0,30.00%,
OhMyPretty,Hair Accessories,US,0,8.00%,
Michelin Guide Hotels,Travel,US,0,5.00%,
Quest Health,Diet & Fitness,US,0,15.00%,0
Bas Bleu,Gifts,US,0,6.00%,
Hairinbeauty,Hair Accessories,US,0,8.00%,
C&H Precision,Weapons,US,0,5.00%,
Silencer Central,Weapons,US,0,3.00%,
xbloom,Beverages,US,0,8.00%,
Mechanism,Electronics Accessories,US,0,10.00%,
Sampler,Consumer Services,US,0,,0.4
Fotor,Software,US,0,35.00%,
SIGNM,Financial,US,0,37.00%,
Wild Cosmetics,Personal Care,US,0,12.00%,
DEGuns,Weapons,US,0,2.50%,
Picnic Time,Outdoor Living,US,0,4.00%,
IDShield,Financial,US,0,30.00%,
ClothDiaper.com,Baby Health,US,0,10.00%,
Take Canary,Vitamins & Supplements,US,0,10.00%,
SimplyCoding,Education,US,0,25.00%,
SkyTrak,Golf,US,0,10.00%,
Everleagues Inc.,Electronics Accessories,US,0,10.00%,5
First Honey,Health Care,US,0,15.00%,
The Silicone Kitchen,Kitchen & Dining,US,0,5.00%,
Wearables,Vitamins & Supplements,US,0,,17.5
Freein,Health & Wellness,US,0,5.00%,
Pupper,Dog Supplies,US,0,25.00%,
Easy Mob Holdings LTD,Computers & Accessories,US,0,,10
"PSYNC LABS, INC",Camera & Optic Accessories,US,0,20.00%,
2 Putt,Clothing & Apparel,US,0,8.00%,
Satavi Naturals,Beauty & Spas,US,0,10.00%,
Divi Official,Health & Beauty,US,0,10.00%,
Once Again Nut Butter,Dairy,US,0,15.00%,
Tastelli,Food & Beverage,US,0,10.00%,
CoffeeRoast Co.,Food & Beverage,US,0,1.00%,
Findercube,Clothing & Apparel,US,0,15.00%,
Ilios Lighting,Beauty & Cosmetics,US,0,10.00%,
ELEHEAR,Audio,US,0,5.00%,
RitKeep,Cardio,US,0,1.00%,
Jenny Lemons,Accessories,US,0,10.00%,
"Canary Clean Products, LLC",Beauty & Cosmetics,US,0,,5
ANCEL,"Vehicle Maintenance, Care & Decor",US,0,8.00%,4.4352
Handso,Health & Beauty,US,0,1.00%,
Pingroupie,Consumer Services,US,0,35.00%,
Cheryl Lee MD Sensitive Skincare,Beauty & Cosmetics,US,0,5.00%,
Coloready,Arts & Crafts,US,0,10.00%,
ColoBotanix LLC,Vitamins & Supplements,US,0,8.00%,
Wonderlust,Sex Toys,US,0,20.00%,
SaberCustom,Toys,US,0,3.00%,
"Lightmap, LLC",Consumer Services,US,0,20.00%,0.01
OneMoreHair,Hair Accessories,US,0,8.00%,
Cie Luxe Brands,Beauty & Cosmetics,US,0,20.00%,
Resume Writing Group,Professional Services,US,0,,75
Roamr,Consumer Electronics,US,0,15.00%,25
Under Your Skin,Beauty & Cosmetics,US,0,20.00%,
MIVA Recovery,Exercise & Fitness,US,0,10.00%,
Shrooms Super Store,CBD,US,0,10.00%,
Lamomo Neon,Lighting,US,0,10.00%,
Pali Wine Co.,Wine,US,0,10.00%,
Manjeri Skincare,Beauty & Cosmetics,US,0,20.00%,
Blokes,Health Care,US,0,10.00%,
Vision Of Self,Jewelry,US,0,10.00%,
AIRTHREADS INC. (DBA AIRTHREADS),Clothing & Apparel,US,0,8.00%,1
Lazartigue,Beauty & Cosmetics,US,0,10.00%,
Testa Omega,Vitamins & Supplements,US,0,10.00%,
TECKNET ONLINE LIMITED,Consumer Electronics,US,0,18.00%,
Greentoe,Appliances,US,0,2.00%,0.01
Meross,Smart Home Devices,US,0,10.00%,
WhiteWall,Photo & Canvas Services,US,0,10.00%,
DIY Mattress,Bed & Bath,US,0,15.00%,
Manni Oil,Food & Gourmet,US,0,10.00%,
ENCOMMUN Official,Women,US,0,12.00%,
iTHEARAU,Yoga & Pilates,US,0,8.00%,
Letterjoy,Consumer Services,US,0,8.00%,
Sokisahtel OU,Clothing & Apparel,US,0,10.00%,
Ticket Chocolate,Desserts,US,0,10.00%,
Fumot,e-Cigarettes & Vaporizers,US,0,5.00%,
May Arts Ribbon,Arts & Crafts,US,0,10.00%,
Core Med Science,Vitamins & Supplements,US,0,10.00%,
Hibermate,Bed & Bath,US,0,8.00%,
Gollee Cosmetics Limited,Beauty & Cosmetics,US,0,16.00%,
Gems by Ava,Jewelry,US,0,15.00%,
Linford,Ink,US,0,20.00%,
Double Stitch by Bedsure,Bed & Bath,US,0,10.00%,
Mela Vitamins,Vitamins & Supplements,US,0,3.00%,
Moonkie,Babies & Kids,US,0,10.00%,
PTAHDUS Gear,Clothing & Apparel,US,0,10.00%,
GTSP Auto Parts,Motor Vehicle Parts,US,0,10.00%,
Kara Yoo Jewelry,Jewelry,US,0,15.00%,0
Juana de Arco,Women,US,0,10.00%,
Alpha Academy,Online Courses,US,0,12.00%,
Melrose and Madison,Household,US,0,10.00%,
Addlonlighting,Lighting,US,0,5.00%,
ShopBobbys.com,Household,US,0,5.00%,
70mai Technology Limited,Consumer Electronics,US,0,4.80%,
Gladstn London,Handbags & Wallets,US,0,10.00%,
LabEx,Online Courses,US,0,10.00%,
Wagwell,Dog Supplies,US,0,10.00%,
Fleshy,Sex Toys,US,0,20.00%,
Magic Canvas,Arts & Crafts,US,0,15.00%,
Optics Force,Optics,US,0,6.00%,
IPAK-EDU LLC,Education,US,0,35.00%,
SuperMouth,Personal Care,US,0,10.00%,
Boost Oxygen,CBD,US,0,10.00%,
EVDANCE,Motor Vehicle Electronics,US,0,10.00%,
Retrouvé,Beauty & Cosmetics,US,0,10.00%,
COMENII LIMITED.,Work Uniforms,US,0,18.00%,
"Bubbies Fine Foods, LLC",Food & Gourmet,US,0,10.00%,
Gaomon,Consumer Electronics,US,0,5.00%,
Brisk It,Kitchen & Dining,US,0,5.00%,
Snowcityshop,Home Decor,US,0,8.00%,
Anytime Mailbox,Consumer Services,US,0,15.20%,20
Potro Inc.,Men,US,0,15.00%,
Skincare Junkie,Beauty & Cosmetics,US,0,20.00%,
Millionkm,Travel,US,0,15.00%,
Sweepstakes Advantage,Gambling,US,0,5.00%,1
Classy Leather Bags,Luggage & Bags,US,0,10.00%,
Kangaroo Hoppers,Outdoor Play Equipment,US,0,5.00%,
Fysetc,3D Printers,US,0,5.00%,
Georgie & Lou,Luggage & Bags,US,0,5.00%,
